6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
1170 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | naming and forms of address | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Battle of the Braggarts', 2020 | Q=Taskhand Durth Mirimm, the current governor | TW=Taskhand Durth Mirimm, the current governor | CLAIM=A second official column names a governing officer as an invented office title plus given name plus surname, followed by the plain English office in apposition. | NOTE=Strict-exact in 'The Wastes of Xhorhas and the City of Jigow'. Invented office title (Taskhand) + given name + surname, then the plain-English office in apposition; the sentence goes on to call him th
1171 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | terminology consistency | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Battle of the Braggarts', 2020 | Q=Jigow is a small city by population, but its sprawl of towns | TW=a small city by population, but its sprawl of towns | CLAIM=The same column qualifies its own size label, calling Jigow a small city by population while describing its extent as a sprawl of towns. | NOTE=Strict-exact; full sentence reads 'Jigow is a small city by population, but its sprawl of towns, villages, and neighborhoods stretches across much of the northern coast of Xhorhas.' Both limbs (size l
1173 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | plainness and economy | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Trek to Ten-Towns', 2020 | Q=better to simply describe the day’s travel in a single sentence | TW=better to simply describe the day's travel in a single sentence | CLAIM=An official D&D Beyond column advises compressing an unremarkable stretch into a single sentence rather than accumulating uninspired description. | NOTE=Strict-exact in the 'Trek to Ten-Towns' travel section; the sentence begins 'if there isn't anything special around' (the unremarkable stretch) and ends 'than to give a litany of uninspired descriptio
1174 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | boxed text form | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Trek to Ten-Towns', 2020 | Q=so it doesn't seem like you're reading from a script | TW=so it doesn't seem like you're reading from a script | CLAIM=The same column tells the DM to vary the wording of a repeated transition so the read-aloud does not sound scripted. | NOTE=Strict-exact. Full sentence: 'You should improvise a slightly different sentence every time you move from scene to scene, so it doesn't seem like you're reading from a script.' It follows the scene-to
1175 | VERIFIED_VERBATIM |  | place-lawful-primaries | gamingnexus.com | verdicts-dnd-i1168-1182.json | place and institution description | Randy, Gaming Nexus, reporting a Wizards of the Coast preview with Chris Perkins, 10 Oct 2 | Q=the town's defining feature is [roll the dice] a Sprawling Cemetery | TW=the town's defining feature is [roll the dice] a Sprawling Cemetery | CLAIM=A reporter covering the publisher's own preview says the 2024 settlement generator's first roll produces the town's defining feature, giving a Sprawling Cemetery in the demonstration. | NOTE=Raw page fetched (HTTP 200, 27KB); byline 'Randy', posted 10/10/2024, covering the Wizards preview with Chris Perkins and interviewer Todd Kenreck. Quote strict-exact; it is the first roll narrated in
1176 | VERIFIED_VERBATIM |  | place-lawful-primaries | gamingnexus.com | verdicts-dnd-i1168-1182.json | place and institution description | Randy, Gaming Nexus, reporting a Wizards of the Coast preview with Chris Perkins, 10 Oct 2 | Q=What current calamity is befalling the town: Monsters infest the settlement | TW=What current calamity is befalling the town: Monsters infest the settlement | CLAIM=The same report gives the current-calamity roll's demonstration result as monsters infesting the settlement. | NOTE=Strict-exact in the same settlement demonstration paragraph, third roll in the narrated sequence.
1180 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | boxed text form | Mike Bernier, 'Visit Phandalin, D&D's Most Popular Starter Town!', D&D Beyond, 18 Sep 2023 | Q=The boxed text above serves as a fantastic base | TW=The boxed text above serves as a fantastic base | CLAIM=An official D&D Beyond article reprints the published Phandalin arrival passage and calls it boxed text. | NOTE=Raw page fetched (HTTP 200). Quote strict-exact under 'Arrival in Phandalin' > 'Visual Description'; the passage it points back to is the reprinted Phandalin description, closed by the line 'Source: D
1181 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1168-1182.json | place and institution description | Wizards of the Coast, Dragon of Icespire Peak boxed text, reprinted in D&D Beyond's Phanda | Q=which consists of forty or fifty simple log buildings | TW=which consists of forty or fifty simple log buildings | CLAIM=The published Phandalin boxed text sizes the town by counting its buildings rather than its people. | NOTE=Strict-exact in the reprinted boxed text sourced to Dragon of Icespire Peak. The passage gives no population figure anywhere - the residents are characterised by trade ('farmers, stonecutters, blacksm
1183 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | concrete sensory noun | Wizards of the Coast, Dragon of Icespire Peak boxed text, reprinted in D&D Beyond's Phanda | Q=They are farmers, stonecutters, blacksmiths, traders, prospectors, and children | TW=They are farmers, stonecutters, blacksmiths, traders, prospectors, and children | CLAIM=The same published passage characterises the townspeople by listing their trades and ending the list with children. | NOTE=Raw page fetched (HTTP 200, browser UA). Quote byte-exact in the boxed text under 'Tips For Running Phandalin in Your Games', immediately followed on the page by 'Source: Dragon of Icespire Peak', con
1185 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | naming and forms of address | Mike Bernier, 'Visit Phandalin, D&D's Most Popular Starter Town!', D&D Beyond, 18 Sep 2023 | Q=Toblen Stonehill (human male) | TW=Toblen Stonehill (human male) | CLAIM=That table names a proprietor as given name plus surname with species and gender in parentheses. | NOTE=Byte-exact in the 'Key NPCs and Locations' table, Proprietor column of the Stonehill Inn row. Given name plus surname with species and gender parenthesised is the table's consistent form (e.g. the Bar
1186 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | dm-facing sentence | Mike Bernier, 'Visit Phandalin, D&D's Most Popular Starter Town!', D&D Beyond, 18 Sep 2023 | Q=Describe the town's layout, from the muddy streets lined with cart tracks | TW=the town's layout, from the muddy streets lined with cart tracks | CLAIM=The article instructs the DM to describe a town's layout starting from its street surface and cart tracks. | NOTE=Byte-exact, straight apostrophe included, in the 'Visual Description' bullet under the 'Arrival in Phandalin' heading. The sentence is addressed to the DM and does begin the layout at street surface a
1188 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | opening sentence | Wizards of the Coast, the Phandalin Post handout, reproduced on D&D Beyond, 5 Sep 2023 | Q=Ches 25, Phandalin – Ambushed wagons, dead travelers, and a town | TW=Ches 25, Phandalin - Ambushed wagons, dead travelers, and a town | CLAIM=That in-world newspaper opens a story with a dateline of in-world date and settlement, then a verbless list of the damage. | NOTE=Byte-exact including the en dash, opening the story headlined 'Goblin Ambush Shocks Travelers on Triboar Trail'. Ches is a Forgotten Realms month, so the dateline is in-world date plus settlement; the
1189 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | naming and forms of address | Wizards of the Coast, the Phandalin Post handout, reproduced on D&D Beyond, 5 Sep 2023 | Q=Linene Graywind, owner of Lionshield Coster in Phandalin | TW=Linene Graywind, owner of Lionshield Coster in Phandalin | CLAIM=That in-world newspaper attributes a quotation by given name, surname, office and institution, then the settlement. | NOTE=Byte-exact in the attribution of the first quoted speaker in the 'Goblin Ambush' story. Given name, surname, office ('owner'), institution ('Lionshield Coster'), then settlement ('in Phandalin') appea
1190 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | naming and forms of address | Wizards of the Coast, the Phandalin Post handout, reproduced on D&D Beyond, 5 Sep 2023 | Q=said Toblen, the innkeeper of the Stonehill Inn | TW=said Toblen, the innkeeper of the Stonehill Inn | CLAIM=The same newspaper attributes a tradesman by given name plus trade plus the institution he keeps. | NOTE=Byte-exact in the section headed "Redbrands' Reign of Terror". Given name alone, then trade, then the institution he keeps, with no surname used here (the sister article's table gives it as Stonehill)
1191 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | naming and forms of address | Wizards of the Coast, the Phandalin Post handout, reproduced on D&D Beyond, 5 Sep 2023 | Q=What is Townmaster Wester going to do to keep us safe? | TW=What is Townmaster Wester going to do to keep us safe? | CLAIM=In reported speech the same newspaper addresses the settlement's leader by office title plus surname, without a given name. | NOTE=Byte-exact inside speech the paper reports from an anonymous townsperson in the 'Goblin Ambush' story. Office title plus surname with no given name; the same form recurs in the paper's own narrative p
1192 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | terminology consistency | Mike Bernier, 'Downloadable Handout: Read the Latest Edition of the Phandalin Post', D&D B | Q=Townminster Weston hasn’t been of any help | TW=Townminster Weston hasn't been of any help | CLAIM=Within one official article the same officer is called Townminster Weston in the editorial commentary and Townmaster Wester in the handout text. | NOTE=Byte-exact, curly apostrophe included, in the editorial section "What's in This Issue of the Phandalin Post?", while the reproduced handout text above it twice reads 'Townmaster Wester'. Both spelling
1193 | VERIFIED_VERBATIM |  | place-lawful-primaries | dndbeyond.com | verdicts-dnd-i1183-1197.json | place and institution description | Wizards of the Coast / D&D Beyond, 'Encounter of the Week: Storm Celebration', 2020 | Q=Boroftkrah is a settlement of orcs, half-orcs, and a few people | TW=Boroftkrah is a settlement of orcs, half-orcs, and a few people | CLAIM=A third official column opens a settlement entry with the settlement's name, its peoples and its region, in one sentence. | NOTE=Byte-exact as the opening sentence under the 'Boroftkrah and the Gods' heading; the sentence continues 'of other races in the Greying Wildlands', supplying the region. Page is dated Mar 9, 2020 and ta
1194 | VERIFIED_VERBATIM |  | place-lawful-primaries | pcgamer.com | verdicts-dnd-i1183-1197.json | place and institution description | Harvey Randall, PC Gamer, 2024 Dungeon Master's Guide review | Q=the toolbox's ones for dungeons and settlement creation | TW=the toolbox's ones for dungeons and settlement creation | CLAIM=A reviewer locates the 2024 Dungeon Master's Guide's settlement-creation tables in the toolbox chapter. | NOTE=Byte-exact in the random-tables paragraph; the preceding paragraph opens 'First up, the toolbox: This is the least focused chapter of the book', locating the tables in that chapter. Byline Harvey Rand
